Paper_ID,Material,Substrate,Method,Gas_Mixture_Std,Power_W,Working_Pressure_Pa,Base_Pressure_Pa,Temperature_C,Thickness_nm
10.1007_s00339-020-04124-x,"Fe, Ni co-doped ZnO (Zn1-x-yNiyFexO where y = 0.01 and x = 0.01, 0.03, 0.05)",Silicon (400),RF magnetron sputtering,Unknown,,,,,
10.1007_s00339-020-3316-z,AlMgB14,"Si (001), Al2O3 (0001), and MgO (001)",DC magnetron sputtering,Ar,,0.53,3.5e-07,25.0,360.0
10.1007_s00339-021-04352-9,Zr-doped ZnO,Soda lime glass,Sol-gel (spin coating) and Sputtering,Ar,2.5,6.0,,,16.0
10.1007_s00339-021-04501-0,NiO,Glass,Reactive DC magnetron sputtering,Ar/O2,70.0,1.0,0.0007,25.0,4.0
10.1007_s00339-021-04661-z,Al-doped ZnO/Ag/Al-doped ZnO (AZO/Ag/AZO),glass,"Magnetron sputtering (RF for AZO, DC for Ag)",Ar/O2,"[200.0, 100.0]","[1.0, 0.6]",0.0009000000000000001,25.0,"[40.0, 12.0]"
10.1007_s00339-021-04685-5,ZnO,glass,RF magnetron sputtering,Ar,100.0,5.0,0.0005,25.0,50.0
10.1007_s00339-021-04723-2,Al-doped MgZnO,Glass,RF magnetron sputtering,Ar,125.0,0.39996600000000004,0.000399966,400.0,230.0
10.1007_s00339-021-04859-1,Molybdenum trioxide (MoO3),Carbon cloth (CC),Radiofrequency (RF) magnetron sputtering,O2,150.0,1000.0,,450.0,350.0
10.1007_s00339-021-04901-2,Nickel oxide (NiO),Glass and p-type Si (100),RF magnetron sputtering,Ar/O2,100.0,,0.00133322,,
10.1007_s00339-021-04952-5,Zinc oxide (ZnO),Fluorine tin oxide (FTO) coated glass,Radio frequency magnetron sputtering (RFMS),O2,150.0,1000.0,,"[25.0, 400.0]","[192.0, 168.0]"
10.1007_s00339-021-04969-w,"ZnO, Zn 0.94 Co 0.06 O, and Zn 0.94 Co 0.06 O/ZnO heterostructure",Quartz and Si (111),RF ion beam sputtering,Unknown,50.0,0.002,1.9999999999999998e-05,,5.0
10.1007_s00339-021-05053-z,Nitrogen-doped titanium oxide (TiOxNy),Indium tin oxide (ITO) coated glass,DC magnetron sputtering,Ar/O2/N2,90.0,30000.0,0.004,600.0,
10.1007_s00339-021-05136-x,Zirconium niobium oxide (Zr 0.7 Nb 0.3 O 2),Quartz and p-silicon,DC reactive magnetron sputtering,Ar/O2,,0.7999320000000001,0.001066576,"[25.0, 500.0]",160.0
10.1007_s00339-021-05197-y,Nickel oxide (NiO),Soda-lime glass (SLG),RF magnetron sputtering,Ar,90.0,0.000399966,0.000133322,25.0,200.0
10.1007_s00339-022-05376-5,Fluorine-doped zinc oxide (FZO),Glass,RF magnetron sputtering,Ar,100.0,0.667,0.0006670000000000001,,300.0
10.1007_s00339-022-05464-6,FeCo/CoO bilayer,Silicon (Si(100)),Ion beam sputtering,Ar/O2,,0.002,2e-06,25.0,
10.1007_s00339-022-05500-5,Tungsten oxide (WO x),Glass,RF magnetron sputtering,Unknown,90.0,1.99983,,25.0,118.0
10.1007_s00339-022-05639-1,Chromium-doped indium tin oxide (Cr-ITO),Glass,RF-DC magnetron co-sputtering,Ar,"[90.0, 40.0]",400.0,3.2,"[25.0, 300.0]",5.0
10.1007_s00339-022-05665-z,Co and Al doped ZnO (CAZO),glass,RF magnetron sputtering,Ar/H2,80.0,3.99966,,450.0,170.0
10.1007_s00339-022-05866-6,Gadolinium-doped ceria (GDC),Screen-printed yttria-stabilized zirconia (YSZ),Direct current magnetron sputtering,Ar/O2,,1.0,,,600.0
10.1007_s00339-022-06224-2,Hafnium oxide (HfO2),Si (001) and Al2O3,Dual-ion beam sputtering (DIBS),Ar/O2,,,0.00399966,140.0,
10.1007_s00339-022-06259-5,Indium tin oxide (ITO),Glass,RF magnetron sputtering,Ar,200.0,0.39996600000000004,0.001199898,25.0,"[170.0, 280.0, 380.0]"
10.1007_s00339-022-06306-1,Pt thin-film with AlOx interlayer,SiNx/SiO2/Si,DC magnetron sputtering and reactive High-Power Impulse Magnetron Sputtering (HiPIMS),Ar/O2/N2,100.0,"[1.33, 53.33]",,"[25.0, 500.0]","[10.0, 175.0]"
10.1007_s00339-023-06430-6,ZnTe (Zinc Telluride),Patterned-ITO,RF magnetron sputtering,Ar,30.0,2.6664399999999997,6.6661e-05,300.0,"[201.0, 308.3, 362.4, 457.5]"
10.1007_s00339-023-06486-4,"LuFe1-xIrxO3 (x = 0, 0.05, 0.10)",Silicon and indium tin oxide (ITO),RF magnetron sputtering,Ar,100.0,0.4,0.000266644,500.0,"[200.0, 250.0, 250.0]"
10.1007_s00339-023-06490-8,ZnO,SiO2 (100 nm)/n+ Si,RF magnetron sputtering,Ar,75.0,1.5,,,100.0
10.1007_s00339-023-06587-0,Zn-Sn-O (ZTO),glass,RF magnetron combinatorial sputter deposition,Ar/O2,"[135.0, 50.0]",1.3332199999999998,6.6661e-07,25.0,70.0
10.1007_s00339-023-06624-y,"ZnO (AZO, NZO) and NiO",p-type Silicon,RF magnetron sputtering,Ar/O2,"[175.0, 110.0, 135.0]",0.3,0.002,"[25.0, 500.0]",200.0
10.1007_s00339-023-06635-9,ZnO,Si(111),RF sputtering,Ar,100.0,,,25.0,400.0
10.1007_s00339-023-06684-0,Nitrogen-doped Zinc Oxide (NZO),Glass,RF magnetron sputtering,Ar/N2,75.0,0.2,,"[50.0, 400.0]",150.0
10.1007_s00339-023-06721-y,Molybdenum (Mo)-doped nickel oxide (NiO),Indium-doped tin oxide (ITO) on glass,DC/RF magnetron sputtering,Unknown,50.0,,,25.0,
10.1007_s00339-023-06837-1,ZnO and Au,glass (Corning),dc reactive magnetron sputtering,O2,,0.8,1000.0,,630.0
